kor,no,url,part
0,1214,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001978/MOV000359555_700X466.mp4,
1,12573,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009715/MOV000360025_700X466.mp4,
10,10919,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005853/MOV000359855_700X466.mp4,
100,2939,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009609/MOV000359943_700X466.mp4,
1000,11983,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009687/MOV000359997_700X466.mp4,
10000,5426,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001911/MOV000359488_700X466.mp4,
2,11057,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005875/MOV000359877_700X466.mp4,
3,11311,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005904/MOV000359906_700X466.mp4,
4,12528,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009711/MOV000360021_700X466.mp4,
5,11055,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005874/MOV000359876_700X466.mp4,
6,12841,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009786/MOV000360083_700X466.mp4,
7,12674,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009775/MOV000360072_700X466.mp4,
8,11419,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009769/MOV000360066_700X466.mp4,
9,11315,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009766/MOV000360063_700X466.mp4,
ㄱ,9344,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005695/MOV000359820_700X466.mp4,
ㄲ,11523,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220803/1006230/MOV000359911_700X466.mp4,
ㄲ쌍기역,19655,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290064/MOV000285063_700X466.mp4,명사
ㄴ,12716,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009739/MOV000360036_700X466.mp4,
ㄴ,19662,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20170313/443678/MOV000285079_700X466.mp4,조사
ㄴ가,19664,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285546/MOV000285081_700X466.mp4,어미
ㄴ니은,19661,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20170313/443678/MOV000285079_700X466.mp4,명사
ㄴ데,19665,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285547/MOV000285083_700X466.mp4,어미
ㄴ커녕,19666,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290067/MOV000285085_700X466.mp4,조사
ㄷ,12915,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009752/MOV000360049_700X466.mp4,
ㄸ,12781,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009741/MOV000360038_700X466.mp4,
ㄸ쌍디귿,19795,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290101/MOV000285445_700X466.mp4,명사
ㄹ,10380,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005858/MOV000359860_700X466.mp4,
ㄹ,19800,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290264/MOV000287368_700X466.mp4,조사
ㄹ,19801,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285678/MOV000285457_700X466.mp4,어미
ㄹ,19802,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285679/MOV000285459_700X466.mp4,어미
ㄹ것이다,669,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628690/MOV000241007_700X466.mp4,
ㄹ것이다,2569,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628689/MOV000239767_700X466.mp4,
